Team,INDGOL
Man City,0.4061302681992337
Leicester,0.3783783783783784
Man United,0.3756906077348066
West Ham,0.3609022556390977
Everton,0.36065573770491804
Liverpool,0.3605150214592275
Tottenham,0.34101382488479265
Watford,0.3333333333333333
Arsenal,0.31759656652360513
Crystal Palace,0.2980132450331126
Brighton,0.288135593220339
Bournemouth,0.28662420382165604
Burnley,0.28346456692913385
Chelsea,0.2818181818181818
West Brom,0.2719298245614035
Swansea,0.2692307692307692
Stoke,0.26717557251908397
Newcastle,0.26
Southampton,0.25517241379310346
Huddersfield,0.25225225225225223
