EQUIPO,SCORE,TEMPORADA
Man City,98,1819
Liverpool,97,1819
Chelsea,72,1819
Tottenham,71,1819
Arsenal,70,1819
Man United,66,1819
Wolves,57,1819
Everton,54,1819
Leicester,52,1819
West Ham,52,1819
Watford,50,1819
Crystal Palace,49,1819
Newcastle,45,1819
Bournemouth,45,1819
Burnley,40,1819
Southampton,39,1819
Brighton,36,1819
Cardiff,34,1819
Fulham,26,1819
Huddersfield,16,1819
Man City,100,1718
Man United,81,1718
Tottenham,77,1718
Liverpool,75,1718
Chelsea,70,1718
Arsenal,63,1718
Burnley,54,1718
Everton,49,1718
Leicester,47,1718
Crystal Palace,44,1718
Bournemouth,44,1718
Newcastle,44,1718
West Ham,42,1718
Watford,41,1718
Brighton,40,1718
Huddersfield,37,1718
Southampton,36,1718
Swansea,33,1718
Stoke,33,1718
West Brom,31,1718
Chelsea,93,1617
Tottenham,86,1617
Man City,78,1617
Liverpool,76,1617
Arsenal,75,1617
Man United,69,1617
Everton,61,1617
Bournemouth,46,1617
Southampton,46,1617
West Brom,45,1617
West Ham,45,1617
Leicester,44,1617
Stoke,44,1617
Swansea,41,1617
Crystal Palace,41,1617
Burnley,40,1617
Watford,40,1617
Hull,34,1617
Middlesbrough,28,1617
Sunderland,24,1617
Leicester,81,1516
Arsenal,71,1516
Tottenham,70,1516
Man United,66,1516
Man City,66,1516
Southampton,63,1516
West Ham,62,1516
Liverpool,60,1516
Stoke,51,1516
Chelsea,50,1516
Everton,47,1516
Swansea,47,1516
Watford,45,1516
West Brom,43,1516
Bournemouth,42,1516
Crystal Palace,42,1516
Sunderland,39,1516
Newcastle,37,1516
Norwich,34,1516
Aston Villa,17,1516
Chelsea,87,1415
Man City,79,1415
Arsenal,75,1415
Man United,70,1415
Tottenham,64,1415
Liverpool,62,1415
Southampton,60,1415
Swansea,56,1415
Stoke,54,1415
Crystal Palace,48,1415
West Ham,47,1415
Everton,47,1415
West Brom,44,1415
Leicester,41,1415
Newcastle,39,1415
Aston Villa,38,1415
Sunderland,38,1415
Hull,35,1415
Burnley,33,1415
QPR,30,1415
Man City,86,1314
Liverpool,84,1314
Chelsea,82,1314
Arsenal,79,1314
Everton,72,1314
Tottenham,69,1314
Man United,64,1314
Southampton,56,1314
Stoke,50,1314
Newcastle,49,1314
Crystal Palace,45,1314
Swansea,42,1314
West Ham,40,1314
Sunderland,38,1314
Aston Villa,38,1314
Hull,37,1314
West Brom,36,1314
Norwich,33,1314
Fulham,32,1314
Cardiff,30,1314
Man United,89,1213
Man City,78,1213
Chelsea,75,1213
Arsenal,73,1213
Tottenham,72,1213
Everton,63,1213
Liverpool,61,1213
West Brom,49,1213
Swansea,46,1213
West Ham,46,1213
Norwich,44,1213
Fulham,43,1213
Stoke,42,1213
Newcastle,41,1213
Aston Villa,41,1213
Southampton,41,1213
Sunderland,39,1213
Wigan,36,1213
Reading,28,1213
QPR,25,1213
Man City,89,1112
Man United,89,1112
Arsenal,70,1112
Tottenham,69,1112
Newcastle,65,1112
Chelsea,64,1112
Everton,56,1112
Liverpool,52,1112
Fulham,52,1112
Norwich,47,1112
Swansea,47,1112
West Brom,47,1112
Sunderland,45,1112
Stoke,45,1112
Wigan,43,1112
Aston Villa,38,1112
QPR,37,1112
Bolton,36,1112
Blackburn,31,1112
Wolves,25,1112
Man United,80,1011
Man City,71,1011
Chelsea,71,1011
Arsenal,68,1011
Tottenham,62,1011
Liverpool,58,1011
Everton,54,1011
Fulham,49,1011
Aston Villa,48,1011
Sunderland,47,1011
West Brom,47,1011
Bolton,46,1011
Stoke,46,1011
Newcastle,46,1011
Blackburn,43,1011
Wigan,42,1011
Wolves,40,1011
Blackpool,39,1011
Birmingham,39,1011
West Ham,33,1011
Chelsea,86,0910
Man United,85,0910
Arsenal,75,0910
Tottenham,70,0910
Man City,67,0910
Aston Villa,64,0910
Liverpool,63,0910
Everton,61,0910
Blackburn,50,0910
Birmingham,50,0910
Stoke,47,0910
Fulham,46,0910
Sunderland,44,0910
Bolton,39,0910
Wolves,38,0910
Wigan,36,0910
West Ham,35,0910
Hull,30,0910
Burnley,30,0910
Portsmouth,28,0910
